API Name,Description,Method,Endpoint,Request Body / Params,Response Type,Screen(s) Used,Module / DataSource,Auth Required,Comment
"Signup","Register a new owner account",POST,/auth/signup,"SignUpRequest (email, password, firstName, lastName, mobile, orgName)",ApiResponse<UserDto>,SignUp Screen,ijs-network-lib / UserRemoteDataSource,No,"Creates owner account + organization"
"Login","Authenticate user with email/password",POST,/auth/login,"LoginRequest (email, password)",ApiResponse<LoginResponseDto> (token + user),Login Screen,ijs-network-lib / UserRemoteDataSource,No,"Returns auth token stored in multiplatform-settings"
"Forgot Password","Send password reset email",POST,/auth/forgot-password,"ForgotPasswordRequest (email)",ApiResponse<Unit>,ForgotPassword Screen,ijs-network-lib / UserRemoteDataSource,No,"Sends reset link to email"
"Reset Password","Reset password using token",POST,/auth/reset-password,"ResetPasswordRequest (token, newPassword)",ApiResponse<Unit>,ForgotPassword Screen,ijs-network-lib / UserRemoteDataSource,No,"Token received via email"
"Get Profile","Fetch current user profile",GET,/profile,"Bearer token (header)",ApiResponse<UserProfileDto>,Profile Screen,ijs-network-lib / UserRemoteDataSource,Yes,""
"Update Profile","Update user profile details",PUT,/profile,"UpdateProfileRequest (firstName, lastName, mobile, etc.)",ApiResponse<UserProfileDto>,Profile Screen,ijs-network-lib / UserRemoteDataSource,Yes,""
"Change Password","Change current user password",POST,/profile/change-password,"ChangePasswordRequest (currentPassword, newPassword)",ApiResponse<Unit>,ChangePassword Screen,ijs-network-lib / UserRemoteDataSource,Yes,""
"Get Dashboard Stats","Fetch fleet overview statistics",GET,/dashboard,"Bearer token",ApiResponse<DashboardStatsDto>,Dashboard Screen,ijs-network-lib / DashboardRemoteDataSource,Yes,"Vehicle/driver/trip counts + status summaries"
"Get Cost Overview","Get cost summary for a period",GET,/dashboard/cost-overview?filter={period},"filter: today|weekly|monthly|quarterly|yearly",ApiResponse<CostOverviewDto>,Dashboard Screen,ijs-network-lib / DashboardRemoteDataSource,Yes,"Returns period costs breakdown"
"Get Pending Payments","Get outstanding payments list",GET,/dashboard/pending-payments?page&per_page,"page, per_page (pagination)",ApiResponse<List<PendingPaymentDto>>,Dashboard Screen,ijs-network-lib / DashboardRemoteDataSource,Yes,"Paginated pending payment list"
"Get Alerts Status","Get document/license expiry alerts",GET,/dashboard/alerts-status,"Bearer token",ApiResponse<AlertsSummaryDto>,Dashboard Screen + AlertsList,ijs-network-lib / DashboardRemoteDataSource,Yes,"Document expiry + license expiry + maintenance due"
"Get Financial Summary","Get revenue/expense/profit summary",GET,/dashboard/financial-summary?period={period},"period: today|weekly|monthly|quarterly|yearly",ApiResponse<FinancialSummaryDto>,Dashboard Screen,ijs-network-lib / DashboardRemoteDataSource,Yes,"Owner/GM only; hidden from Manager/Supervisor"
"Get Trip Cost Types","Fetch trip cost type catalog",GET,/cost-types/trip,"None",CostTypesApiResponse,App Init + TripCostEntry,ijs-network-lib / CostsRemoteDataSource,No,"3-level hierarchy: Category → Group → Item. Cached in Room"
"Get Maintenance Cost Types","Fetch maintenance cost type catalog",GET,/cost-types/maintenance,"None",CostTypesApiResponse,App Init + MaintenanceCostEntry,ijs-network-lib / CostsRemoteDataSource,No,"Cached in Room on app startup"
"Get Driver Cost Types","Fetch driver cost type catalog",GET,/cost-types/driver,"None",CostTypesApiResponse,App Init + DriverCostEntry,ijs-network-lib / CostsRemoteDataSource,No,"Cached in Room on app startup"
"Create Trip Cost","Add a single cost to a trip",POST,/trip-costs,"CreateTripCostRequest (tripId, costType, costId, costLabel, groupId, amount, date, time, notes, fuel fields)",TripCostApiResponse,TripCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,"Date: DD-MM-YYYY; Time: HH:MM"
"Bulk Create Trip Costs","Add multiple costs to a trip",POST,/trips/{tripId}/costs/bulk,"BulkCreateTripCostsRequest (tripId, costs[])",BulkCostsApiResponse,TripCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,"Bulk costs use ISO 8601 datetime"
"Get Trip Costs","List costs for a trip",GET,/trips/{tripId}/costs,"tripId (path), page, per_page (query)",TripCostsListApiResponse,TripDetail Screen (Costs tab),ijs-network-lib / CostsRemoteDataSource,Yes,""
"Get Trip Cost Summary","Get cost summary for a trip",GET,/trips/{tripId}/costs/summary,"tripId (path)",TripCostSummaryApiResponse,TripDetail Screen,ijs-network-lib / CostsRemoteDataSource,Yes,"Total amount + breakdown by type"
"Delete Trip Cost","Remove a trip cost entry",DELETE,/trip-costs/{costId},"costId (path)",ApiResponse<Unit>,TripDetail Screen,ijs-network-lib / CostsRemoteDataSource,Yes,""
"Create Maintenance Cost","Add maintenance expense for vehicle",POST,/maintenance-costs,"CreateMaintenanceCostRequest (vehicleId, costType, amount, date, time, notes)",MaintenanceCostApiResponse,MaintenanceCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,"Date: DD-MM-YYYY; Time: HH:MM"
"Bulk Create Maintenance Costs","Add multiple maintenance costs",POST,/vehicles/{vehicleId}/maintenance-costs/bulk,"BulkCreateMaintenanceCostsRequest",BulkCostsApiResponse,MaintenanceCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,""
"Get Vehicle Maintenance Costs","List maintenance costs for vehicle",GET,/vehicles/{vehicleId}/maintenance-costs,"vehicleId, page, per_page, start_date, end_date",VehicleMaintenanceCostsApiResponse,VehicleDetail Screen (Costs tab),ijs-network-lib / CostsRemoteDataSource,Yes,""
"Get Vehicle Trip Costs","List trip costs for a vehicle",GET,/vehicles/{vehicleId}/trip-costs,"vehicleId, page, per_page, start_date, end_date",VehicleTripCostsApiResponse,VehicleDetail Screen (Costs tab),ijs-network-lib / CostsRemoteDataSource,Yes,""
"Delete Maintenance Cost","Remove a maintenance cost entry",DELETE,/maintenance-costs/{costId},"costId (path)",ApiResponse<Unit>,VehicleDetail Screen,ijs-network-lib / CostsRemoteDataSource,Yes,""
"Create Driver Cost","Add driver cost (salary/advance/bonus/etc.)",POST,/drivers/{driverId}/costs,"CreateDriverCostRequest (costId, costLabel, groupId, amount, date, month, description, notes)",DriverCostApiResponse,DriverCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,""
"Bulk Create Driver Costs","Add multiple driver costs",POST,/drivers/{driverId}/costs/bulk,"BulkCreateDriverCostsRequest",BulkDriverCostsApiResponse,DriverCostEntry Screen,ijs-network-lib / CostsRemoteDataSource,Yes,""
"Get Driver Costs","List costs for a driver",GET,/drivers/{driverId}/costs,"driverId, page, per_page, start_date, end_date",DriverCostsListApiResponse,DriverDetail Screen,ijs-network-lib / CostsRemoteDataSource,Yes,"Returns totalEarnings, totalDeductions, netAmount"
"Get Vehicles","List all vehicles",GET,/vehicles,"state (query, optional)",VehicleApiResponse<List<VehicleDto>>,VehiclesList Screen,screen-vehicle / VehicleRemoteDataSource,Yes,""
"Get Available Vehicles","List vehicles with state=active",GET,/vehicles?state=active,"state=active",VehicleApiResponse<List<VehicleDto>>,CreateTrip Screen (vehicle picker),screen-vehicle / VehicleRemoteDataSource,Yes,"Filters for assignment-ready vehicles"
"Get Vehicle By ID","Fetch single vehicle details",GET,/vehicles/{id},"vehicleId (path)",VehicleApiResponse<VehicleDto>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,""
"Get Vehicle Detail","Fetch combined vehicle detail data",GET,/vehicles/{id}/detail,"vehicleId (path)",VehicleApiResponse<VehicleDetailDto>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"Returns vehicle + driver + stats + docs + trips summary"
"Create Vehicle","Register new vehicle",POST,/vehicles,"CreateVehicleRequest (regNo, make, model, year, type, fuelType, capacity, color, driverId?)",VehicleApiResponse<VehicleDto>,AddVehicle Screen,screen-vehicle / VehicleRemoteDataSource,Yes,""
"Create Vehicle With Documents","Register vehicle with document uploads",POST,/vehicles/with-documents,"Multipart: vehicle fields + document files (RC, Insurance, PUC, Fitness, RoadTax, Permit)",VehicleApiResponse<VehicleDto>,AddVehicle Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"Multipart form upload with binary file data"
"Update Vehicle","Update vehicle info",PUT,/vehicles/{id},"UpdateVehicleRequest (make, model, year, type, fuelType, capacity, color, mileage, driverId)",VehicleApiResponse<VehicleDto>,VehicleDetail Screen (edit),screen-vehicle / VehicleRemoteDataSource,Yes,"Partial update: only provided fields"
"Delete Vehicle","Delete a vehicle",DELETE,/vehicles/{id},"vehicleId (path)",VehicleApiResponse<Unit>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,""
"Update Vehicle State","Change vehicle status",PATCH,/vehicles/{id}/state,"StateUpdateRequestDto (state, reason?, notes?)",VehicleApiResponse<VehicleDto>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"States: inactive/active/on_route/maintenance/damaged/decommissioned"
"Get Vehicle State History","Fetch vehicle state transitions",GET,/vehicles/{id}/state-history,"page, per_page",VehicleApiResponse<StateHistoryResponseDto>,VehicleDetail Screen (History),screen-vehicle / VehicleRemoteDataSource,Yes,"Paginated state transition log"
"Get Vehicle Trips","List trips for a vehicle",GET,/vehicles/{id}/trips,"page, per_page, state (optional)",VehicleApiResponse<VehicleTripsDto>,VehicleDetail Screen (Trips tab),screen-vehicle / VehicleRemoteDataSource,Yes,""
"Get Vehicle Route","Fetch active trip route",GET,/vehicles/{id}/route,"vehicleId (path)",VehicleApiResponse<VehicleRouteDto>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"Returns route + stops + progress if active trip"
"Get Vehicle Documents","List vehicle documents",GET,/vehicles/{id}/documents,"vehicleId (path)",VehicleApiResponse<List<VehicleDocumentDto>>,VehicleDetail Screen (Documents tab),screen-vehicle / VehicleRemoteDataSource,Yes,"Fallback endpoint"
"Get Vehicle Documents Detail","Fetch detailed documents with summary",GET,/vehicles/{id}/documents/detail,"vehicleId (path)",VehicleApiResponse<VehicleDocumentsDetailDto>,VehicleDetail Screen (Documents tab),screen-vehicle / VehicleRemoteDataSource,Yes,"Summary + types + alerts + other docs"
"Upload Vehicle Document","Upload document file for vehicle",POST,/vehicles/{vehicleId}/documents,"Multipart: file, document_type, document_name, document_number?, expiry_date?",VehicleApiResponse<VehicleDocumentDto>,VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"Binary file upload with metadata"
"Download Document","Download document file",GET,/documents/{documentId}/download,"documentId (path)",ByteArray (binary),VehicleDetail Screen,screen-vehicle / VehicleRemoteDataSource,Yes,"Returns raw file bytes"
"Get Vehicle History","Fetch vehicle activity history",GET,/vehicles/{id}/history,"page, per_page",VehicleHistoryApiResponse,VehicleDetail Screen (History),screen-vehicle / VehicleRemoteDataSource,Yes,"Activity log with field changes"
"Get Trips By Vehicle (fallback)","List trips for vehicle via /trips endpoint",GET,/trips?vehicle_id={vehicleId},"vehicle_id, page, per_page, state",VehicleApiResponse<List<VehicleTripDto>>,VehicleDetail Screen (fallback),screen-vehicle / VehicleRemoteDataSource,Yes,"Alternative path when /vehicles/{id}/trips unavailable"
"Get Drivers","List all drivers",GET,/drivers,"status, search, page, per_page",DriverApiResponse<List<DriverDto>>,DriversList Screen,screen-driver / DriverRemoteDataSource,Yes,"Supports filtering + search + pagination"
"Get Available Drivers","List active/available drivers",GET,/drivers/available,"Bearer token",DriverApiResponse<List<DriverDto>>,CreateTrip Screen (driver picker),screen-driver / DriverRemoteDataSource,Yes,""
"Get Driver By ID","Fetch single driver details",GET,/drivers/{id},"driverId (path)",DriverApiResponse<DriverDto>,DriverDetail Screen,screen-driver / DriverRemoteDataSource,Yes,""
"Create Driver","Register new driver",POST,/drivers,"CreateDriverRequest (firstName, lastName, mobile, licenseNumber, licenseExpiry, dateOfBirth, address, etc.)",DriverApiResponse<DriverDto>,CreateDriver Screen,screen-driver / DriverRemoteDataSource,Yes,""
"Update Driver","Update driver info",PUT,/drivers/{id},"UpdateDriverRequest (firstName, lastName, email, mobile, licenseExpiry, address, etc.)",DriverApiResponse<DriverDto>,DriverDetail Screen (edit),screen-driver / DriverRemoteDataSource,Yes,""
"Update Driver Status","Change driver status",PATCH,/drivers/{id}/status,"UpdateDriverStatusRequest (status) or StatusUpdateRequestDto (status, reason?, notes?)",DriverApiResponse<DriverDto>,DriverDetail Screen,screen-driver / DriverRemoteDataSource,Yes,"States: inactive/active/on_route/on_leave/suspended/terminated"
"Toggle Driver Active","Activate/deactivate driver",PATCH,/drivers/{id}/toggle-active,"Bearer token only",DriverApiResponse<DriverDto>,DriverDetail Screen,screen-driver / DriverRemoteDataSource,Yes,""
"Delete Driver","Delete a driver",DELETE,/drivers/{id},"driverId (path)",DriverApiResponse<Unit>,DriverDetail Screen,screen-driver / DriverRemoteDataSource,Yes,""
"Get Driver History","Fetch driver activity history",GET,/drivers/{id}/history,"page, per_page",DriverHistoryApiResponse,DriverDetail Screen (History),screen-driver / DriverRemoteDataSource,Yes,""
"Get Driver State History","Fetch driver state transitions",GET,/drivers/{id}/state-history,"page, per_page",DriverApiResponse<StateHistoryResponseDto>,DriverDetail Screen (History),screen-driver / DriverRemoteDataSource,Yes,""
"Get Trips","List all trips",GET,/trips,"Bearer token",TripApiResponse<List<TripDto>>,TripsList Screen,screen-trip / TripRemoteDataSource,Yes,""
"Get Trip By ID","Fetch single trip details",GET,/trips/{id},"tripId (path)",TripApiResponse<TripDto>,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,"Includes cost_summary + display_info"
"Create Trip","Plan a new trip",POST,/trips,"CreateTripRequest (vehicleId, driverId, plannedStart, plannedEnd, startLocation, endLocation, cargoType, tripPrice, customerId, etc.)",TripApiResponse<TripDto>,CreateTrip Screen,screen-trip / TripRemoteDataSource,Yes,"planned_start/planned_end in ISO 8601"
"Update Trip","Update trip details",PUT,/trips/{id},"UpdateTripRequest (vehicleId, driverId, schedule, locations, cargo, customer, tripPrice, etc.)",TripApiResponse<TripDto>,TripDetail Screen (edit),screen-trip / TripRemoteDataSource,Yes,"Owner/GM: any state; Manager: planned only"
"Update Trip Status","Change trip status directly",PATCH,/trips/{id}/state,"UpdateTripStateRequest (state)",TripApiResponse<TripDto>,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,"States: planned/on_route/completed/cancelled/failed/delayed"
"Update Trip State (with reason)","Change trip state with reason",PATCH,/trips/{id}/state,"StateUpdateRequestDto (state, reason?, notes?)",TripApiResponse<TripDto>,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,"Same endpoint; richer request body"
"Update Trip Progress","Update trip tracking data",PATCH,/trips/{id}/progress,"Map (covered_distance, covered_duration_minutes, current_lat, current_lng)",TripApiResponse<TripDto>,TripDetail Screen / Map,screen-trip / TripRemoteDataSource,Yes,"For in-progress trips"
"Update Trip Location","Update current GPS position",PATCH,/trips/{id}/location,"Map (current_lat, current_lng)",TripApiResponse<TripDto>,TripDetail Screen / Map,screen-trip / TripRemoteDataSource,Yes,""
"Cancel/Delete Trip","Cancel or delete a trip",DELETE,/trips/{id},"tripId (path)",TripApiResponse<Unit>,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,""
"Get Trip State History","Fetch trip state transitions",GET,/trips/{id}/state-history,"page, per_page",TripApiResponse<StateHistoryResponseDto>,TripDetail Screen (History),screen-trip / TripRemoteDataSource,Yes,""
"Get Trips By Vehicle (trip module)","List trips for a vehicle",GET,/vehicles/{vehicleId}/trips,"vehicleId (path)",TripApiResponse<List<TripDto>>,TripDetail / VehicleDetail,screen-trip / TripRemoteDataSource,Yes,""
"Get Trip Stops","List stops for a trip",GET,/trips/{tripId}/stops,"tripId (path)",TripStopsApiResponse,TripDetail Screen (Stops),screen-trip / TripRemoteDataSource,Yes,""
"Create Trip Stop","Add stop to trip route",POST,/trips/{tripId}/stops,"CreateTripStopRequest (stopOrder, location, lat?, lng?, arrivalTime?, stopDuration?, notes?)",TripStopApiResponse,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,""
"Update Trip Stop","Modify an existing trip stop",PUT,/trips/{tripId}/stops/{stopId},"UpdateTripStopRequest (stopOrder, location, lat?, lng?, arrivalTime?, stopDuration?, notes?)",TripStopApiResponse,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,""
"Mark Stop Completed","Mark a stop as completed",PATCH,/trips/{tripId}/stops/{stopId}/complete,"Bearer token only",TripStopApiResponse,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,""
"Delete Trip Stop","Remove stop from trip",DELETE,/trips/{tripId}/stops/{stopId},"tripId + stopId (path)",TripApiResponse<Unit>,TripDetail Screen,screen-trip / TripRemoteDataSource,Yes,""
"Get Customers","List all customers with pagination",GET,/customers,"page, per_page",CustomerListResponse,CustomersList Screen,screen-customer / CustomerRemoteDataSource,Yes,""
"Get Customer By ID","Fetch single customer details",GET,/customers/{id},"customerId (path)",CustomerResponse,CustomerDetail Screen,screen-customer / CustomerRemoteDataSource,Yes,""
"Create Customer","Register new customer",POST,/customers,"CreateCustomerRequest (companyName, personName, primaryContact, email, gstNumber, address, etc.)",CustomerResponse,CreateCustomer Screen,screen-customer / CustomerRemoteDataSource,Yes,""
"Update Customer","Update customer details",PUT,/customers/{id},"UpdateCustomerRequest",CustomerResponse,CustomerDetail Screen (edit),screen-customer / CustomerRemoteDataSource,Yes,""
"Toggle Customer Status","Activate/deactivate customer",PATCH,/customers/{id}/toggle-status,"Bearer token only",CustomerResponse,CustomerDetail Screen,screen-customer / CustomerRemoteDataSource,Yes,""
"Get Customer Statistics","Fetch customer financial stats",GET,/customers/{id}/statistics,"start_date?, end_date?",CustomerStatisticsResponse,CustomerDetail Screen,screen-customer / CustomerRemoteDataSource,Yes,"Owner/GM only"
"Get Customer Trips","List trips for a customer",GET,/customers/{id}/trips,"page, per_page, state?",CustomerTripsResponse,CustomerDetail Screen (Trips tab),screen-customer / CustomerRemoteDataSource,Yes,""
"Get Customer Pending Payments","Fetch unpaid invoices",GET,/customers/{id}/pending-payments,"page, per_page",CustomerPendingPaymentsResponse,CustomerDetail Screen,screen-customer / CustomerRemoteDataSource,Yes,"Owner/GM only"
"Get Customer Payments","List payments received from customer",GET,/customers/{id}/payments,"page, per_page, status?, mode?",CustomerPaymentsResponse,CustomerDetail Screen (Payments tab),screen-customer / CustomerRemoteDataSource,Yes,"Owner/GM only"
"Get Customer Payment Summary","Payment breakdown by mode/month",GET,/customers/{id}/payment-summary,"start_date?, end_date?",CustomerPaymentSummaryResponse,CustomerDetail Screen,screen-customer / CustomerRemoteDataSource,Yes,"Owner/GM only"
